40
92
1011;DME;LED;6:50;8:30
1012;LED;DME;9:20;10:55
1015;DME;LED;15:00;16:40
1016;LED;DME;17:30;19:05
1053;DME;KZN;16:30;18:00
1054;KZN;DME;18:45;20:30
1073;DME;KUF;12:35;14:25
1074;KUF;DME;15:10;17:05
1135;DME;UFA;7:10;9:25
1136;UFA;DME;10:10;12:30
1137;DME;UFA;13:35;15:50
1138;UFA;DME;16:35;18:55
1195;DME;PEZ;15:55;17:20
1196;PEZ;DME;18:10;19:30
1211;DME;KGD;11:50;14:45
1212;KGD;DME;15:30;18:20
1255;DME;KVK;5:40;8:15
1256;KVK;DME;9:00;11:20
2043;DME;AER;5:45;9:35
2044;AER;DME;10:35;14:10
2047;DME;AER;10:20;14:10
2048;AER;DME;15:10;18:45
2051;DME;AER;8:00;11:50
2052;AER;DME;12:50;16:25
2153;DME;OGZ;8:35;11:50
2154;OGZ;DME;12:45;15:50
2167;DME;MRV;10:35;14:00
2168;MRV;DME;14:50;18:05
2502;OVB;DME;23:15;3:45
2504;OVB;DME;1:50;6:20
2505;DME;OVB;8:30;12:35
2509;DME;OVB;13:45;17:50
2510;OVB;DME;8:15;12:45
2511;DME;OVB;18:15;22:20
2513;DME;OVB;20:40;0:45
2514;OVB;DME;13:40;18:10
2565;DME;OMS;20:20;23:45
2566;OMS;DME;0:45;4:25
2571;DME;NUX;22:45;2:20
2572;NUX;DME;3:20;7:15
2581;DME;NSK;20:45;1:00
2582;NSK;DME;2:15;6:45
2601;DME;BAX;19:50;0:05
2602;BAX;DME;1:05;5:35
2605;DME;KEJ;19:55;0:20
2606;KEJ;DME;1:20;6:05
2615;DME;TOF;20:05;0:15
2616;TOF;DME;1:15;5:55
2625;DME;NOZ;18:20;22:40
2626;NOZ;DME;23:45;4:40
2629;DME;RGK;20:50;1:15
2630;RGK;DME;2:15;7:05
3007;DME;YKS;15:20;22:00
3008;YKS;DME;23:15;6:30
3017;DME;IKT;18:25;0:15
3018;IKT;DME;1:30;7:55
3019;DME;IKT;17:20;23:05
3020;IKT;DME;0:20;6:45
3021;DME;IKT;9:35;15:20
3022;IKT;DME;3:15;9:40
3041;DME;BTK;19:15;0:35
3042;BTK;DME;1:55;7:40
3045;DME;HTA;14:10;20:25
3046;HTA;DME;21:35;4:45
3059;DME;NER;18:15;1:00
3060;NER;DME;2:30;9:45
3061;DME;BQS;18:05;1:35
3062;BQS;DME;2:45;11:05
3245;DME;UGC;19:15;22:50
3246;UGC;DME;0:05;3:50
3739;DME;AYT;5:15;10:20
3740;AYT;DME;11:20;16:10
3749;DME;IST;7:40;12:55
3750;IST;DME;13:50;18:35
3773;DME;DWC;4:50;10:35
3774;DWC;DME;11:35;17:20
5005;OVB;LED;8:05;12:45
5006;LED;OVB;13:45;18:05
5203;OVB;VVO;16:15;21:50
5204;VVO;OVB;22:55;5:05
5565;OVB;TAS;6:20;9:30
5566;TAS;OVB;10:50;13:35
6203;VVO;UUS;4:55;6:35
6204;UUS;VVO;7:30;9:20
6205;VVO;UUS;22:35;0:15
6206;UUS;VVO;1:10;3:00
6241;VVO;PKX;21:00;23:50
6242;PKX;VVO;0:50;3:15
6245;VVO;PVG;13:35;17:10
6246;PVG;VVO;18:15;21:30
6339;IKT;VVO;16:35;20:40
6340;VVO;IKT;21:40;2:05
